orderid,dateordered,datereturned,orderstatus,orders
1,12/31/2014,1/24/2015,returned,1
2,12/31/2014,,complete,8
3,12/30/2014,,complete,14
4,12/29/2014,,complete,14
5,12/28/2014,12/29/2014,returned,1
6,12/28/2014,,complete,23
7,12/27/2014,1/28/2015,returned,1
8,12/27/2014,1/25/2015,returned,1
9,12/27/2014,1/15/2015,returned,1
10,12/27/2014,1/5/2015,returned,1
11,12/27/2014,,complete,13
12,12/26/2014,,complete,12
13,12/25/2014,,complete,8
14,12/24/2014,1/20/2015,returned,1
15,12/24/2014,12/30/2014,returned,1
16,12/24/2014,12/29/2014,returned,1
17,12/24/2014,,complete,4
18,12/23/2014,,complete,12
19,12/23/2014,1/1/2015,returned,1
20,12/22/2014,,complete,10
21,12/21/2014,,complete,8
22,12/20/2014,12/25/2014,returned,1
23,12/20/2014,1/8/2015,returned,1
24,12/20/2014,,complete,13
25,12/19/2014,,complete,11
26,12/18/2014,,complete,10
27,12/17/2014,,complete,8
28,12/16/2014,1/23/2015,returned,1
29,12/16/2014,1/20/2015,returned,1
30,12/16/2014,,complete,13
31,12/15/2014,,complete,18
32,12/14/2014,,complete,15
33,12/13/2014,,complete,10
34,12/12/2014,,complete,13
35,12/11/2014,,complete,9
36,12/10/2014,1/17/2015,returned,1
37,12/10/2014,1/7/2015,returned,1
38,12/10/2014,12/15/2014,returned,1
39,12/10/2014,12/10/2014,returned,1
40,12/10/2014,12/20/2014,returned,1
41,12/10/2014,,complete,14
42,12/9/2014,,complete,14
43,12/8/2014,,complete,5
44,12/7/2014,,complete,9
45,12/6/2014,,complete,7
46,12/5/2014,,complete,11
47,12/4/2014,,complete,11
48,12/3/2014,,complete,12
49,12/2/2014,,complete,15
50,12/1/2014,,complete,32
51,11/30/2014,12/6/2014,returned,1
52,11/30/2014,,complete,36
53,11/29/2014,,complete,9
54,11/28/2014,12/15/2014,returned,1
55,11/28/2014,,complete,9
56,11/27/2014,,complete,4
57,11/26/2014,,complete,5
58,11/25/2014,,complete,5
59,11/24/2014,,complete,13
60,11/23/2014,,complete,5
61,11/22/2014,,complete,5
62,11/21/2014,,complete,6
63,11/20/2014,,complete,8
64,11/19/2014,1/6/2015,returned,1
65,11/19/2014,,complete,6
66,11/18/2014,,complete,11
67,11/17/2014,,complete,11
68,11/16/2014,,complete,6
69,11/15/2014,,complete,6
70,11/14/2014,,complete,7
71,11/13/2014,,complete,4
72,11/12/2014,12/10/2014,returned,1
73,11/12/2014,11/15/2014,returned,1
74,11/12/2014,11/16/2014,returned,1
75,11/12/2014,,complete,4
76,11/11/2014,,complete,9
77,11/10/2014,,complete,10
78,11/9/2014,,complete,2
79,11/8/2014,,complete,2
80,11/7/2014,,complete,3
81,11/5/2014,1/23/2015,returned,1
82,11/5/2014,,complete,5
83,11/4/2014,1/7/2015,returned,1
84,11/4/2014,11/14/2014,returned,1
85,11/4/2014,,complete,8
86,11/3/2014,12/11/2014,returned,1
87,11/3/2014,,complete,6
88,11/2/2014,12/30/2014,returned,1
89,11/2/2014,11/20/2014,returned,1
90,11/2/2014,,complete,2
91,11/1/2014,,complete,7
92,10/31/2014,,complete,6
93,10/30/2014,,complete,6
94,10/29/2014,1/12/2015,returned,1
95,10/29/2014,,complete,1
96,10/28/2014,12/11/2014,returned,1
97,10/28/2014,,complete,7
98,10/27/2014,,complete,2
99,10/26/2014,,complete,7
100,10/25/2014,,complete,7
101,10/24/2014,,complete,2
102,10/23/2014,,complete,7
103,10/22/2014,,complete,10
104,10/21/2014,,complete,5
105,10/20/2014,12/22/2014,returned,1
106,10/20/2014,,complete,8
107,10/19/2014,11/10/2014,returned,1
108,10/19/2014,,complete,6
109,10/18/2014,,complete,5
110,10/17/2014,,complete,6
111,10/16/2014,11/15/2014,returned,1
112,10/16/2014,,complete,3
113,10/15/2014,,complete,6
114,10/14/2014,,complete,5
115,10/13/2014,11/5/2014,returned,1
116,10/13/2014,,complete,5
117,10/12/2014,,complete,6
118,10/11/2014,,complete,7
119,10/10/2014,,complete,6
120,10/9/2014,,complete,7
121,10/8/2014,12/29/2014,returned,1
122,10/8/2014,,complete,4
123,10/7/2014,,complete,6
124,10/6/2014,10/24/2014,returned,1
125,10/6/2014,1/20/2015,returned,1
126,10/6/2014,,complete,8
127,10/5/2014,,complete,6
128,10/4/2014,10/17/2014,returned,1
129,10/4/2014,,complete,3
130,10/3/2014,,complete,3
131,10/2/2014,,complete,2
132,10/1/2014,,complete,8
133,9/30/2014,,complete,5
134,9/29/2014,10/1/2014,returned,1
135,9/29/2014,,complete,6
136,9/28/2014,10/19/2014,returned,1
137,9/28/2014,,complete,2
138,9/27/2014,,complete,4
139,9/26/2014,,complete,3
140,9/25/2014,,complete,3
141,9/24/2014,,complete,7
142,9/23/2014,12/19/2014,returned,1
143,9/23/2014,,complete,2
144,9/22/2014,,complete,4
145,9/21/2014,,complete,5
146,9/20/2014,,complete,4
147,9/19/2014,10/6/2014,returned,1
148,9/19/2014,,complete,3
149,9/18/2014,,complete,2
150,9/17/2014,,complete,6
151,9/16/2014,,complete,1
152,9/15/2014,,complete,10
153,9/14/2014,,complete,2
154,9/13/2014,,complete,5
155,9/12/2014,11/1/2014,returned,1
156,9/12/2014,,complete,2
157,9/11/2014,,complete,1
158,9/10/2014,,complete,3
159,9/9/2014,,complete,4
160,9/8/2014,,complete,9
161,9/7/2014,,complete,5
162,9/6/2014,,complete,7
163,9/5/2014,,complete,10
164,9/4/2014,12/9/2014,returned,1
165,9/4/2014,,complete,8
166,9/3/2014,11/24/2014,returned,1
167,9/3/2014,,complete,2
168,9/2/2014,,complete,6
169,9/1/2014,11/27/2014,returned,1
170,9/1/2014,12/3/2014,returned,1
171,9/1/2014,,complete,3
172,8/31/2014,,complete,4
173,8/30/2014,,complete,3
174,8/29/2014,9/23/2014,returned,1
175,8/29/2014,,complete,3
176,8/28/2014,,complete,7
177,8/27/2014,,complete,3
178,8/26/2014,,complete,5
179,8/25/2014,,complete,3
180,8/24/2014,,complete,6
181,8/23/2014,,complete,4
182,8/22/2014,,complete,2
183,8/21/2014,,complete,3
184,8/20/2014,,complete,3
185,8/19/2014,,complete,5
186,8/18/2014,10/14/2014,returned,1
187,8/18/2014,,complete,5
188,8/17/2014,,complete,3
189,8/16/2014,,complete,1
190,8/15/2014,,complete,3
191,8/14/2014,,complete,6
192,8/13/2014,,complete,4
193,8/12/2014,,complete,8
194,8/11/2014,9/10/2014,returned,1
195,8/11/2014,,complete,6
196,8/11/2014,,complete,6
197,8/11/2014,12/11/2014,returned,1
198,8/10/2014,,complete,4
199,8/9/2014,10/27/2014,returned,1
200,8/9/2014,10/29/2014,returned,1
201,8/9/2014,,complete,9
202,8/8/2014,,complete,4
203,8/7/2014,,complete,5
204,8/6/2014,11/13/2014,returned,1
205,8/6/2014,11/15/2014,returned,1
206,8/6/2014,11/25/2014,returned,1
207,8/6/2014,,complete,1
208,8/5/2014,,complete,1
209,8/4/2014,,complete,6
210,8/3/2014,8/25/2014,returned,1
211,8/3/2014,,complete,8
212,8/2/2014,,complete,4
213,8/1/2014,,complete,4
